,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
5451,4,6,58,134,88,232
5452,4,6,78,138,134,226
5453,4,6,79,136,125,217
5454,4,5,94,110,155,164
5455,4,5,82,102,148,173
5456,4,5,79,94,144,161
5457,3,6,59,110,94,181
5458,4,5,75,119,118,187
5459,3,5,77,99,122,163
5460,5,6,95,107,165,183
5461,4,5,79,123,115,187
5462,3,5,65,89,103,142
5463,4,5,73,111,116,168
5464,4,6,83,113,135,181
5465,4,5,75,98,121,165
5466,3,6,65,102,113,171
5467,4,4,87,88,143,146
5468,4,5,84,98,132,160
5469,3,5,75,91,116,144
5470,3,5,56,95,82,159
5471,3,6,82,126,128,200
5472,4,7,80,133,123,220
5473,3,4,67,85,106,133
5474,3,4,72,99,120,161
5475,5,6,95,94,151,160
5476,3,5,66,128,115,218
5477,4,2,84,44,155,80
5478,4,6,91,126,132,209
5479,4,6,59,115,91,185
5480,4,7,82,125,135,214
5481,4,5,69,112,102,194
5482,4,5,60,97,124,166
5483,4,6,78,126,128,199
5484,4,5,79,96,125,167
5485,3,5,74,104,123,160
5486,4,4,66,95,105,153
5487,4,5,77,106,136,176
5488,4,6,82,136,126,220
5489,5,6,82,127,142,233
5490,4,5,84,119,131,191
5491,3,5,66,124,124,219
5492,4,4,78,68,124,117
5493,5,5,77,100,123,155
5494,4,5,60,87,97,160
5495,4,5,75,122,121,191
5496,4,6,80,119,139,195
5497,5,5,84,96,143,154
5498,2,4,52,94,81,154
5499,4,5,89,111,151,169
5500,4,5,78,110,130,165
5501,4,6,68,113,104,182
5502,4,5,82,92,138,148
5503,4,8,61,143,107,233
5504,5,4,90,74,141,132
5505,4,5,93,101,164,168
5506,3,5,75,108,125,178
5507,4,6,81,140,130,242
5508,3,6,76,142,131,244
5509,3,6,64,113,104,193
5510,4,6,65,127,100,214
5511,4,6,84,96,120,161
5512,3,5,69,125,102,178
5513,4,6,97,119,157,190
5514,4,4,74,78,121,113
5515,5,6,91,131,150,215
5516,3,4,64,74,105,127
5517,4,7,85,101,138,161
5518,3,5,56,121,108,198
5519,4,4,77,80,120,136
5520,4,6,74,127,125,188
5521,3,6,61,120,109,223
5522,5,5,87,103,140,185
5523,4,5,80,101,140,166
5524,4,5,88,103,159,190
5525,5,4,100,76,157,119
5526,4,5,60,101,94,163
5527,5,5,96,79,168,131
5528,4,5,80,97,141,155
5529,3,5,60,95,105,155
5530,4,5,74,119,131,198
5531,4,6,65,132,123,224
5532,3,7,62,133,107,227
5533,4,5,77,137,133,227
5534,3,4,78,116,144,196
5535,4,7,69,119,115,186
5536,4,5,73,103,112,165
5537,4,5,87,97,141,174
5538,3,6,58,130,107,209
5539,5,4,95,87,148,148
5540,3,5,80,101,128,164
5541,5,6,98,120,164,185
5542,4,7,83,142,127,224
5543,4,5,70,120,108,193
5544,4,5,82,107,140,177
5545,4,5,84,97,120,166
5546,3,5,70,114,107,178
5547,4,5,74,106,112,179
5548,5,5,81,113,130,181
5549,4,3,84,73,131,137
5550,3,5,68,97,118,171
